location,cases,density_per_km
Colombia-Antioquia-Sonson,16,40.08177185
Colombia-Antioquia-Sopetran,972,86.94114685
Colombia-Antioquia-Tamesis,15,89.39758301
Colombia-Antioquia-Taraza,581,26.5582962
Colombia-Antioquia-Tarso,0,82.61698914
Colombia-Antioquia-Titiribi,0,131.3000183
Colombia-Antioquia-Toledo,36,12.22398758
Colombia-Antioquia-Turbo,9022,56.25215912
Colombia-Antioquia-Unknown,1171,70.99121857
Colombia-Antioquia-Uramita,42,43.32409286
Colombia-Antioquia-Urrao,73,21.16065598
Colombia-Antioquia-Valdivia,133,42.41305923
Colombia-Antioquia-Valparaiso,212,69.23680878
Colombia-Antioquia-Vegachi,195,27.96831322
Colombia-Antioquia-Venecia,29,131.5727539
Colombia-Antioquia-Vigia_Del_Fuerte,0,4.052924633
Colombia-Antioquia-Yali,0,24.22031403
Colombia-Antioquia-Yarumal,158,78.73828125
Colombia-Antioquia-Yolombo,92,28.04930496
Colombia-Antioquia-Yondo,427,11.6586628
Colombia-Antioquia-Zaragoza,1936,32.11340714
Colombia-Arauca,11700,11.54199314
Colombia-Arauca-Arauca,21151,11.54199314
Colombia-Arauca-Arauquita,4698,16.546278
Colombia-Arauca-Cravo_Norte,238,0.7731643915
Colombia-Arauca-Fortul,3808,40.83136749
Colombia-Arauca-Puerto_Rondon,370,2.031735897
Colombia-Arauca-Saravena,14570,87.70478821
Colombia-Arauca-Tame,4967,16.85697937
Colombia-Arauca-Unknown,784,70.99121857
Colombia-Atlantico,31707,259.5848389
Colombia-Atlantico-Baranoa,1130,576.0449219
Colombia-Atlantico-Campo_De_La_Cruz,739,159.5933533
Colombia-Atlantico-Candelaria,507,6356.598633
Colombia-Atlantico-Galapa,1937,725.1578369
Colombia-Atlantico-Juan_De_Acosta,594,124.6659088
Colombia-Atlantico-Luruaco,709,140.7541504
Colombia-Atlantico-Malambo,6140,1617.722412
Colombia-Atlantico-Manati,171,91.4410553
Colombia-Atlantico-Palmar_De_Varela,890,393.6209717
Colombia-Atlantico-Piojo,68,15.18785477
Colombia-Atlantico-Polonuevo,577,252.4866791
Colombia-Atlantico-Ponedera,162,253.8489075
Colombia-Atlantico-Puerto_Colombia,7370,462.7320557
Colombia-Atlantico-Repelon,710,116.7106934
Colombia-Atlantico-Sabanagrande,1732,1118.430176
Colombia-Atlantico-Sabanalarga,2983,43.34637451
Colombia-Atlantico-Santa_Lucia,251,174.0388794
Colombia-Atlantico-Santo_Tomas,1294,402.8623352
Colombia-Atlantico-Soledad,46051,16292.4707
Colombia-Atlantico-Suan,110,205.6672974
Colombia-Atlantico-Tubara,2076,73.6686554
