location,cases,density_per_km
Colombia-Antioquia-Itagui,2117,13706.1240234375
Colombia-Antioquia-Ituango,37,15.382405281066896
Colombia-Antioquia-Jardin,25,99.9943389892578
Colombia-Antioquia-Jerico,68,87.2789306640625
Colombia-Antioquia-La_Ceja,4,476.36138916015625
Colombia-Antioquia-La_Estrella,153,2162.5107421875
Colombia-Antioquia-La_Pintada,178,174.8401336669922
Colombia-Antioquia-La_Union,41,392.4222412109375
Colombia-Antioquia-Liborina,40,61.18115997314453
Colombia-Antioquia-Maceo,131,26.10224914550781
Colombia-Antioquia-Marinilla,20,554.3917236328125
Colombia-Antioquia-Medellin,14530,8364.98046875
Colombia-Antioquia-Montebello,22,137.88009643554688
Colombia-Antioquia-Murindo,31,3.732408285140991
Colombia-Antioquia-Mutata,1306,18.64676284790039
Colombia-Antioquia-Narino,239,118.5054931640625
Colombia-Antioquia-Nechi,1280,31.36363983154297
Colombia-Antioquia-Necocli,1578,53.03141784667969
Colombia-Antioquia-Olaya,141,53.7917366027832
Colombia-Antioquia-Pedol,4,70.99121856689453
Colombia-Antioquia-Peque,35,30.66445541381836
Colombia-Antioquia-PeÃ°ol,34,70.99121856689453
Colombia-Antioquia-PeÌ¡ol,0,70.99121856689453
Colombia-Antioquia-Pueblorrico,0,152.389892578125
Colombia-Antioquia-Puerto_Berrio,2328,41.3391227722168
Colombia-Antioquia-Puerto_Nare,156,43.09421920776367
Colombia-Antioquia-Puerto_Triunfo,1133,64.41947174072266
Colombia-Antioquia-Remedios,831,15.855560302734377
Colombia-Antioquia-Retiro,0,89.2931137084961
Colombia-Antioquia-Rionegro,108,704.0064697265625
Colombia-Antioquia-Sabanalarga,156,43.34637451171875
Colombia-Antioquia-Sabaneta,317,7823.7890625
Colombia-Antioquia-Salgar,41,85.59178161621094
Colombia-Antioquia-San_Andres_De_Cuerquia,207,46.73814392089844
Colombia-Antioquia-San_Carlos,328,30.70911407470703
Colombia-Antioquia-San_Francisco,36,97.35760498046876
Colombia-Antioquia-San_Jeronimo,382,98.97640991210938
Colombia-Antioquia-San_Jose_De_La_Montana,0,34.23534393310547
Colombia-Antioquia-San_Juan_De_Uraba,679,115.20352172851562
Colombia-Antioquia-San_Luis,192,29.677377700805664
Colombia-Antioquia-San_Pedro,85,111.39256286621094
Colombia-Antioquia-San_Pedro_De_Uraba,972,68.20747375488281
Colombia-Antioquia-San_Rafael,69,52.75005340576172
Colombia-Antioquia-San_Roque,135,59.50830078125
Colombia-Antioquia-San_Vicente,1,124.06637573242188
Colombia-Antioquia-Santa_Barbara,46,156.28073120117188
Colombia-Antioquia-Santa_Rosa_De_Osos,0,51.25154113769531
Colombia-Antioquia-Santafe_De_Antioquia,898,64.49037170410156
Colombia-Antioquia-Santo_Domingo,23,60.77382278442383
Colombia-Antioquia-Segovia,84,29.871097564697266
Colombia-Antioquia-Sonson,16,40.08177185058594
Colombia-Antioquia-Sopetran,972,86.94114685058594
Colombia-Antioquia-Tamesis,15,89.3975830078125
Colombia-Antioquia-Taraza,581,26.55829620361328
Colombia-Antioquia-Tarso,0,82.61698913574219
Colombia-Antioquia-Titiribi,0,131.30001831054688
Colombia-Antioquia-Toledo,36,12.223987579345703
Colombia-Antioquia-Turbo,9022,56.25215911865234
Colombia-Antioquia-Unknown,1171,70.99121856689453
Colombia-Antioquia-Uramita,42,43.32409286499024
Colombia-Antioquia-Urrao,73,21.1606559753418
Colombia-Antioquia-Valdivia,133,42.41305923461914
Colombia-Antioquia-Valparaiso,212,69.23680877685547
Colombia-Antioquia-Vegachi,195,27.96831321716309
Colombia-Antioquia-Venecia,29,131.57275390625
Colombia-Antioquia-Vigia_Del_Fuerte,0,4.052924633026123
Colombia-Antioquia-Yali,0,24.220314025878903
Colombia-Antioquia-Yarumal,158,78.73828125
Colombia-Antioquia-Yolombo,92,28.049304962158203
Colombia-Antioquia-Yondo,427,11.658662796020508
Colombia-Antioquia-Zaragoza,1936,32.113407135009766
Colombia-Arauca,11700,11.541993141174316
Colombia-Arauca-Arauca,21151,11.541993141174316
Colombia-Arauca-Arauquita,4698,16.54627799987793
Colombia-Arauca-Cravo_Norte,238,0.7731643915176392
Colombia-Arauca-Fortul,3808,40.83136749267578
Colombia-Arauca-Puerto_Rondon,370,2.031735897064209
Colombia-Arauca-Saravena,14570,87.70478820800781
Colombia-Arauca-Tame,4967,16.856979370117188
Colombia-Arauca-Unknown,784,70.99121856689453
Colombia-Atlantico,31707,259.5848388671875
Colombia-Atlantico-Baranoa,1130,576.044921875
Colombia-Atlantico-Campo_De_La_Cruz,739,159.59335327148438
Colombia-Atlantico-Candelaria,507,6356.5986328125
Colombia-Atlantico-Galapa,1937,725.1578369140625
Colombia-Atlantico-Juan_De_Acosta,594,124.66590881347656
Colombia-Atlantico-Luruaco,709,140.754150390625
Colombia-Atlantico-Malambo,6140,1617.722412109375
Colombia-Atlantico-Manati,171,91.44105529785156
Colombia-Atlantico-Palmar_De_Varela,890,393.6209716796875
Colombia-Atlantico-Piojo,68,15.187854766845703
Colombia-Atlantico-Polonuevo,577,252.48667907714844
Colombia-Atlantico-Ponedera,162,253.84890747070312
Colombia-Atlantico-Puerto_Colombia,7370,462.7320556640625
Colombia-Atlantico-Repelon,710,116.710693359375
Colombia-Atlantico-Sabanagrande,1732,1118.43017578125
Colombia-Atlantico-Sabanalarga,2983,43.34637451171875
Colombia-Atlantico-Santa_Lucia,251,174.03887939453125
Colombia-Atlantico-Santo_Tomas,1294,402.8623352050781
Colombia-Atlantico-Soledad,46051,16292.470703125
Colombia-Atlantico-Suan,110,205.66729736328125
Colombia-Atlantico-Tubara,2076,73.66865539550781
Colombia-Atlantico-Unknown,749,70.99121856689453
Colombia-Atlantico-Usiacuri,845,102.54893493652344
Colombia-Barranquilla,56964,9729.59375
Colombia-Barranquilla-Barranquilla,170942,9729.59375
Colombia-Bogota,16866,6356.5986328125
Colombia-Bogota-Barrios_Unidos_12_De_Octubre,0,6356.5986328125
Colombia-Bogota-Barrios_Unidos_Los_Andes,0,6356.5986328125
Colombia-Bogota-Bogota,6,6356.5986328125
"Colombia-Bogota-Bogota,_D.C.",179,70.99121856689453
Colombia-Bogota-Bosa_Bosa_Central,0,6356.59912109375
Colombia-Bogota-Bosa_Tintal_Sur,0,6356.59912109375
Colombia-Bogota-Chapinero_Chapinero,0,6356.5986328125
Colombia-Bogota-Chapinero_Chico_Lago,0,6356.5986328125
Colombia-Bogota-Ciudad_Bolivar_San_Francisco,0,6356.59912109375
Colombia-Bogota-Engativa_Engativa,0,6356.59912109375
Colombia-Bogota-Fontibon_Fontibon,0,6356.5986328125
Colombia-Bogota-Kennedy_Americas,0,6356.5986328125
Colombia-Bogota-Kennedy_Kennedy_Central,0,6356.5986328125
Colombia-Bogota-La_Candelaria_La_Candelaria,0,6356.5986328125
Colombia-Bogota-Puente_Aranda_San_Rafael,0,6356.5986328125
Colombia-Bogota-San_Cristobal_Sociego,0,6356.5986328125
Colombia-Bogota-Teusaquillo_Ciudad_Salitre_Oriental,0,6356.599609375
Colombia-Bogota-Teusaquillo_La_Esmeralda,0,6356.5986328125
Colombia-Bogota-Teusaquillo_Quinta_Paredes,0,6356.59912109375
Colombia-Bogota-Teusaquillo_Teusaquillo,0,6356.59912109375
Colombia-Bogota-Tunjuelito_Tunjuelito,0,6356.5986328125
Colombia-Bogota-Tunjuelito_Venecia,0,6356.5986328125
Colombia-Bogota-Usaquen_Los_Cedros,0,6356.5986328125
Colombia-Bogota-Usaquen_Santa_Barbara,0,6356.5986328125
Colombia-Bolivar,4991,31.51944923400879
Colombia-Bolivar-Achi,412,44.79246520996094
Colombia-Bolivar-Altos_Del_Rosario,0,65.42057800292969
Colombia-Bolivar-Arenal,1709,57.62712860107422
Colombia-Bolivar-Arjona,924,174.30429077148438
Colombia-Bolivar-Arroyohondo,64,75.13993835449219
Colombia-Bolivar-Barranco_De_Loba,345,72.04428100585938
Colombia-Bolivar-Calamar,104,103.30137634277344
Colombia-Bolivar-Cantagallo,685,17.007299423217773
